Mes_Año,Usuario,Metros cuadrados reales por rollo,tiempo_en_rollo,tiempo_en_horas,metros_por_hora
2021-01,acorpus,20407.958,0 days 05:06:17,5.104722222222223,3997.858671165043
2021-01,elopezt,2311.4,0 days 00:53:36,0.8933333333333333,2587.3880597014927
2021-01,eperezv,1637563.365036,17 days 10:52:14,418.87055555555554,3909.4735672314573
2021-01,grangel,1765306.384981,17 days 21:34:19,429.57194444444445,4109.4545577552335
2021-01,iperalta,4669.104,0 days 01:11:16,1.1877777777777778,3930.957530402245
2021-01,jdelira,42952.448000000004,0 days 22:30:49,22.51361111111111,1907.8435613024221
2021-01,jmatahe,1543920.481657,15 days 00:29:42,360.495,4282.779183225843
2021-01,jmlarar,41762.483,0 days 10:50:06,10.835,3854.4054453161048
2021-01,jtorrem,1726474.45342,16 days 02:08:44,386.1455555555556,4471.0457716808
2021-01,jtorresb,1654554.36383,15 days 16:41:39,376.69416666666666,4392.30152797694
2021-01,jtoscano,1561370.336257,13 days 21:29:34,333.4927777777778,4681.8715135636785
2021-01,rholten,4973.978,0 days 01:04:26,1.073888888888889,4631.743610967408
2021-01,tflores,7005.625,0 days 01:45:30,1.7583333333333333,3984.2417061611377
2021-02,acorpus,33868.798,0 days 07:31:55,7.531944444444444,4496.6871768393885
2021-02,eperezv,1435811.3930880001,13 days 14:10:46,326.17944444444447,4401.906427713443
2021-02,grangel,1170978.66246,16 days 19:39:47,403.66305555555556,2900.8814315404693
2021-02,iperalta,2449.326,0 days 00:19:18,0.32166666666666666,7614.484974093265
2021-02,jdelira,83271.431,0 days 17:50:53,17.848055555555554,4665.574394969884
2021-02,jmatahe,1390477.138,12 days 21:00:45,309.0125,4499.743984466648
2021-02,jmlarar,29910.488,0 days 06:46:57,6.7825,4409.9503133063035
2021-02,jtorrem,1392386.952,12 days 20:58:08,308.9688888888889,4506.560375730027
2021-02,jtorresb,1815293.4239100001,16 days 17:17:16,401.28777777777776,4523.669855988637
2021-02,jtoscano,1713743.652141,14 days 13:18:27,349.3075,4906.117538675809
2021-02,mcarrill,6389.768,0 days 01:32:32,1.5422222222222222,4143.221325648416
2021-03,acorpus,29412.958,0 days 06:27:00,6.45,4560.148527131782
2021-03,eperezv,1203630.40586,13 days 22:08:44,334.1455555555556,3602.1140663051033
2021-03,grangel,1906859.06921,17 days 20:12:15,428.20416666666665,4453.153933680391
2021-03,iperalta,12201.954388,0 days 03:27:40,3.4611111111111112,3525.4442854574636
2021-03,jmatahe,1761544.451298,16 days 12:52:26,396.87388888888887,4438.549626506601
2021-03,jmlarar,612295.30132,6 days 03:30:15,147.50416666666666,4151.037324278975
2021-03,jtorrem,1790024.995018,17 days 16:06:10,424.10277777777776,4220.733956041055
2021-03,jtorresb,2140330.899107,21 days 09:29:41,513.4947222222222,4168.1653315625335
2021-03,jtoscano,1759496.20501,15 days 18:06:02,378.10055555555556,4653.513937382912
2021-03,mcarrill,3228.7200000000003,0 days 00:29:26,0.4905555555555556,6581.762174405436
